自由工作,,,
E-1,Arduinoを用いた、コーラス・エフェクター内蔵の4和音対応シンセサイザー,石垣　良,株式会社メイテックフィルダーズ
E-2,ラジコンカーADASへの道,岡　信太郎,株式会社メイテック　キャリア開発センター
E-3,M5stickC+UIFlowで愛娘の為にオモチャをアジャイルっぽく？作った話,及川　達裕,ポリテクセンター熊本
研究発表,,,
R-1,PelemayのARMアーキテクチャとNervesへの適用,山崎進,北九州市立大学
R-2,ElixirによるROS 2クライアントライブラリの初期実装,高瀬 英希,京都大学／JSTさきがけ
R-3,TOPPERS/SSPのRISC-Vへのポーティング,伊与田 健敏,創価大学 理工学部 共生創造理工学科
R-4,MISRA-C非推奨コードが読解の正確さと所要時間に与える影響,杉山裕一,名古屋大学大学院情報学研究科情報システム学専攻
R-5,ブロックチェーンによるIoT機器向けOTAフレームワーク,稲垣雄大,名古屋大学 情報学研究科 情報システム学専攻 高田研究室
R-6,有向グラフによるAUTOSAR定義の俯瞰とVRの活用,芦岡　徳之,名古屋大学大学院情報学研究科附属組込みシステム研究センターAPTool コンソーシアム
R-7,TOPPERS/Athrill を使用した AUTOSAR モデルカー演習の実機レス化,庭野 正義,アイコムシステック株式会社
R-8,リアルタイムOSによるROSノード軽量実行環境の定量的評価,祐源英俊,京都大学
プロジェクト紹介,,,
P-1,システム開発文書品質研究会(ASDoQ),山本雅基,ASDoQ/名古屋大学
P-2,enPiT-Pro Emb 組込みシステム技術者のための技術展開⼒育成プログラムの紹介,名倉　正剛,南山大学
P-3,TOPPERS 箱庭WG 紹介,細合晋太郎,株式会社 チェンジビジョン
P-4,Performance Testing in ROS 2,楊 玉晴,埼玉大学
協賛企業デモ展示,,,
D-1,リスクポテンシャルビュアー（WARXSS RPV）のご紹介,後藤　孝一,株式会社ヴィッツ 高信頼性PF開発部
D-2,これまでにない気づきがある！　自律支援サービスの紹介,富澤 賢,エプソンアヴァシス
D-3,Autowareと物流用ロボットLogieeを利用した自動運転システム,東出泰治,株式会社ティアフォー
D-4,コネクトフリーの技術/製品紹介,中林智之,コネクトフリー株式会社
D-5,TOPPERSに対応した統合開発環境SOLID,由良　守,京都マイクロコンピュータ株式会社
D-6,STマイクロエレクトロニクス株式会社,,
